1024x1024 bmm  0,,,
elapsed time,power,no of threads,
2.88,2,1, block size is 4
5.71,3,1, block size is 4
8.54,4,1, block size is 4
11.37,5,1, block size is 4
14.19,6,1, block size is 4
17.01,7,1, block size is 4
19.84,8,1, block size is 4
22.66,9,1, block size is 4
25.49,10,1, block size is 4
28.32,11,1, block size is 4
31.14,12,1, block size is 4
33.96,13,1, block size is 4
36.79,14,1, block size is 4
39.62,15,1, block size is 4
42.43,16,1, block size is 4
44.94,2,1, block size is 8
47.45,3,1, block size is 8
49.99,4,1, block size is 8
52.5,5,1, block size is 8
55.01,6,1, block size is 8
57.52,7,1, block size is 8
60.03,8,1, block size is 8
62.54,9,1, block size is 8
65.04,10,1, block size is 8
67.55,11,1, block size is 8
70.07,12,1, block size is 8
72.58,13,1, block size is 8
75.08,14,1, block size is 8
77.59,15,1, block size is 8
80.1,16,1, block size is 8
82.46,2,1, block size is 16
84.83,3,1, block size is 16
87.2,4,1, block size is 16
89.57,5,1, block size is 16
91.94,6,1, block size is 16
94.3,7,1, block size is 16
96.67,8,1, block size is 16
99.04,9,1, block size is 16
101.41,10,1, block size is 16
103.78,11,1, block size is 16
106.15,12,1, block size is 16
108.51,13,1, block size is 16
110.88,14,1, block size is 16
113.25,15,1, block size is 16
115.62,16,1, block size is 16
118.01,2,1, block size is 32
120.4,3,1, block size is 32
122.79,4,1, block size is 32
125.18,5,1, block size is 32
127.56,6,1, block size is 32
129.95,7,1, block size is 32
132.34,8,1, block size is 32
134.73,9,1, block size is 32
137.11,10,1, block size is 32
139.5,11,1, block size is 32
141.88,12,1, block size is 32
144.28,13,1, block size is 32
146.67,14,1, block size is 32
149.06,15,1, block size is 32
151.45,16,1, block size is 32
153.82,2,1, block size is 64
156.19,3,1, block size is 64
158.56,4,1, block size is 64
160.93,5,1, block size is 64
163.3,6,1, block size is 64
165.67,7,1, block size is 64
168.03,8,1, block size is 64
170.4,9,1, block size is 64
172.77,10,1, block size is 64
175.14,11,1, block size is 64
177.51,12,1, block size is 64
179.88,13,1, block size is 64
182.25,14,1, block size is 64
184.62,15,1, block size is 64
186.99,16,1, block size is 64
1024 1 thread done,,,
