1024x1024 omm transpose 3,,
elapsed time,power,no of threads
3.22,2,1
6.31,3,1
9.4,4,1
12.48,5,1
15.56,6,1
18.64,7,1
21.71,8,1
24.79,9,1
27.87,10,1
30.94,11,1
34.01,12,1
37.14,13,1
40.33,14,1
43.4,15,1
46.47,16,1
512 1 thread done,,
1.59,2,2
3.14,3,2
4.69,4,2
6.23,5,2
7.78,6,2
9.33,7,2
10.89,8,2
12.43,9,2
14.03,10,2
15.58,11,2
17.14,12,2
18.7,13,2
20.26,14,2
21.82,15,2
23.37,16,2
512 2 thread done,,
0.83,2,4
1.63,3,4
2.43,4,4
3.22,5,4
4.02,6,4
4.82,7,4
5.62,8,4
6.42,9,4
7.22,10,4
8.02,11,4
8.82,12,4
9.61,13,4
10.42,14,4
11.22,15,4
12.01,16,4
512 4 thread done,,
0.58,2,6
1.13,3,6
1.68,4,6
2.23,5,6
2.78,6,6
3.34,7,6
3.89,8,6
4.45,9,6
5,10,6
5.55,11,6
6.11,12,6
6.66,13,6
7.21,14,6
7.77,15,6
8.32,16,6
512 6 thread done,,
0.49,2,8
0.95,3,8
1.41,4,8
1.87,5,8
2.33,6,8
2.78,7,8
3.24,8,8
3.7,9,8
4.15,10,8
4.61,11,8
5.07,12,8
5.53,13,8
5.99,14,8
6.45,15,8
6.9,16,8
512 8 thread done,,
0.49,2,10
1,3,10
1.5,4,10
2.01,5,10
2.49,6,10
2.99,7,10
3.49,8,10
4.04,9,10
4.55,10,10
5.1,11,10
5.64,12,10
6.14,13,10
6.65,14,10
7.14,15,10
7.66,16,10
512 10 thread done,,
0.49,2,12
0.94,3,12
1.41,4,12
1.89,5,12
2.36,6,12
2.83,7,12
3.3,8,12
3.78,9,12
4.25,10,12
4.72,11,12
5.19,12,12
5.67,13,12
6.13,14,12
6.6,15,12
7.08,16,12
512 12 thread done,,
0.47,2,14
0.93,3,14
1.41,4,14
1.88,5,14
2.35,6,14
2.82,7,14
3.32,8,14
3.79,9,14
4.27,10,14
4.75,11,14
5.23,12,14
5.7,13,14
6.18,14,14
6.64,15,14
7.11,16,14
512 14 thread done,,
0.47,2,16
0.93,3,16
1.4,4,16
1.86,5,16
2.32,6,16
2.79,7,16
3.24,8,16
3.69,9,16
4.14,10,16
4.6,11,16
5.06,12,16
5.54,13,16
5.99,14,16
6.44,15,16
6.9,16,16
512 16 thread done,,
