2048x2048 omm transpose 5,,
elapsed time,power,no of threads
58,2,1
113.97,3,1
170.51,4,1
226.55,5,1
282.88,6,1
340.18,7,1
396.25,8,1
452.89,9,1
509.19,10,1
565.78,11,1
621.75,12,1
678.38,13,1
734.52,14,1
790.76,15,1
849.36,16,1
2048 1 thread done,,
31.59,2,2
62.74,3,2
93.87,4,2
125.03,5,2
156.19,6,2
187.35,7,2
218.52,8,2
249.67,9,2
280.84,10,2
312.02,11,2
343.19,12,2
374.38,13,2
405.56,14,2
436.72,15,2
467.87,16,2
2048 2 thread done,,
15.68,2,4
31.34,3,4
47,4,4
62.63,5,4
78.22,6,4
93.8,7,4
109.37,8,4
124.92,9,4
140.48,10,4
156.03,11,4
171.57,12,4
187.13,13,4
202.71,14,4
218.29,15,4
233.86,16,4
2048 4 thread done,,
10.49,2,6
21.23,3,6
31.94,4,6
42.72,5,6
53.48,6,6
64.19,7,6
74.99,8,6
85.76,9,6
96.51,10,6
107.26,11,6
118.06,12,6
128.82,13,6
139.56,14,6
150.33,15,6
161.08,16,6
2048 6 thread done,,
8.62,2,8
17.22,3,8
25.77,4,8
34.29,5,8
42.81,6,8
51.34,7,8
59.86,8,8
68.38,9,8
76.9,10,8
85.45,11,8
94,12,8
102.55,13,8
111.09,14,8
119.65,15,8
128.19,16,8
2048 8 thread done,,
6.98,2,10
13.58,3,10
20.5,4,10
27.3,5,10
33.74,6,10
40.27,7,10
47.4,8,10
54.23,9,10
60.73,10,10
67.61,11,10
74.16,12,10
80.86,13,10
87.5,14,10
94.26,15,10
101.21,16,10
2048 10 thread done,,
6.53,2,12
12.98,3,12
19.47,4,12
25.95,5,12
32.45,6,12
38.87,7,12
45.33,8,12
51.81,9,12
58.27,10,12
64.71,11,12
71.18,12,12
77.59,13,12
84.05,14,12
90.47,15,12
96.93,16,12
2048 12 thread done,,
5.96,2,14
12.69,3,14
19.04,4,14
24.98,5,14
31.21,6,14
37.45,7,14
43.93,8,14
50.02,9,14
56.75,10,14
62.86,11,14
69.14,12,14
75.28,13,14
81.62,14,14
87.64,15,14
93.81,16,14
2048 14 thread done,,
6.21,2,16
11.62,3,16
17.79,4,16
24.12,5,16
29.48,6,16
35.81,7,16
41.19,8,16
46.81,9,16
52.91,10,16
58.35,11,16
64.78,12,16
70.36,13,16
76,14,16
82.13,15,16
87.68,16,16
2048 16 thread done,,
