2048x2048 omm transpose 4,,
elapsed time,power,no of threads
58.41,2,1
116.33,3,1
173.83,4,1
231.68,5,1
288.87,6,1
346.58,7,1
404.17,8,1
461.75,9,1
519.15,10,1
576.68,11,1
633.92,12,1
691.31,13,1
748.92,14,1
806.74,15,1
864.47,16,1
2048 1 thread done,,
31.07,2,2
62.09,3,2
93.2,4,2
124.3,5,2
155.32,6,2
186.36,7,2
217.42,8,2
248.51,9,2
279.58,10,2
310.62,11,2
341.68,12,2
372.72,13,2
403.76,14,2
434.8,15,2
465.85,16,2
2048 2 thread done,,
15.59,2,4
31.26,3,4
46.93,4,4
62.52,5,4
78.11,6,4
93.71,7,4
109.33,8,4
124.94,9,4
140.6,10,4
156.26,11,4
171.93,12,4
187.56,13,4
203.15,14,4
218.75,15,4
234.35,16,4
2048 4 thread done,,
10.44,2,6
21.03,3,6
31.64,4,6
42.32,5,6
52.97,6,6
63.62,7,6
74.35,8,6
85.02,9,6
95.7,10,6
106.36,11,6
117.05,12,6
127.71,13,6
138.36,14,6
149.03,15,6
159.61,16,6
2048 6 thread done,,
8.54,2,8
17.05,3,8
25.51,4,8
33.96,5,8
42.41,6,8
50.84,7,8
59.27,8,8
67.71,9,8
76.13,10,8
84.57,11,8
93.03,12,8
101.5,13,8
109.96,14,8
118.45,15,8
126.92,16,8
2048 8 thread done,,
6.63,2,10
13.2,3,10
19.91,4,10
26.87,5,10
33.33,6,10
39.93,7,10
47.19,8,10
53.6,9,10
60.42,10,10
67.07,11,10
73.7,12,10
80.24,13,10
86.62,14,10
93.22,15,10
100.31,16,10
2048 10 thread done,,
6.49,2,12
12.87,3,12
19.27,4,12
25.7,5,12
32.08,6,12
38.45,7,12
44.85,8,12
51.25,9,12
57.71,10,12
64.12,11,12
70.61,12,12
77.01,13,12
83.43,14,12
89.82,15,12
96.34,16,12
2048 12 thread done,,
5.84,2,14
11.58,3,14
18.12,4,14
24.25,5,14
29.99,6,14
35.78,7,14
41.58,8,14
47.38,9,14
53.93,10,14
59.67,11,14
66.33,12,14
72.46,13,14
79.19,14,14
84.82,15,14
90.65,16,14
2048 14 thread done,,
5.45,2,16
10.62,3,16
16.37,4,16
21.54,5,16
26.9,6,16
32.75,7,16
37.87,8,16
43.4,9,16
49.18,10,16
54.28,11,16
60.1,12,16
65.84,13,16
70.95,14,16
76.77,15,16
81.9,16,16
2048 16 thread done,,
