2048x2048 omm 1,,
elapsed time,power,no of threads
58.79,2,1
118,3,1
177.91,4,1
236.66,5,1
295.59,6,1
354.43,7,1
413.28,8,1
472.1,9,1
532.35,10,1
591.11,11,1
649.59,12,1
708.12,13,1
766.52,14,1
825.76,15,1
884.35,16,1
2048 1 thread done,,
31.28,2,2
62.49,3,2
93.63,4,2
124.78,5,2
155.92,6,2
187.36,7,2
218.46,8,2
249.6,9,2
282.82,10,2
315.9,11,2
348.67,12,2
381.72,13,2
413.14,14,2
444.4,15,2
475.47,16,2
2048 2 thread done,,
15.77,2,4
31.47,3,4
47.14,4,4
62.82,5,4
78.51,6,4
94.2,7,4
109.9,8,4
125.58,9,4
141.28,10,4
156.96,11,4
172.65,12,4
188.33,13,4
204.01,14,4
219.72,15,4
235.42,16,4
2048 4 thread done,,
10.52,2,6
21.51,3,6
32.58,4,6
43.27,5,6
54,6,6
64.66,7,6
75.36,8,6
86.13,9,6
96.9,10,6
107.65,11,6
118.39,12,6
129.09,13,6
139.87,14,6
150.6,15,6
161.29,16,6
2048 6 thread done,,
8.59,2,8
17.15,3,8
25.64,4,8
34.14,5,8
42.64,6,8
51.14,7,8
59.65,8,8
68.15,9,8
76.68,10,8
85.19,11,8
93.69,12,8
102.21,13,8
110.74,14,8
119.25,15,8
127.77,16,8
2048 8 thread done,,
6.94,2,10
13.58,3,10
20.23,4,10
26.85,5,10
33.68,6,10
40.48,7,10
47.18,8,10
53.73,9,10
60.37,10,10
66.79,11,10
73.53,12,10
80.23,13,10
86.86,14,10
93.76,15,10
100.69,16,10
2048 10 thread done,,
6.52,2,12
13.03,3,12
19.52,4,12
26,5,12
32.5,6,12
38.94,7,12
45.39,8,12
51.9,9,12
58.41,10,12
64.89,11,12
71.4,12,12
77.93,13,12
84.4,14,12
90.88,15,12
97.39,16,12
2048 12 thread done,,
6.38,2,14
12.51,3,14
18.53,4,14
24.63,5,14
30.98,6,14
37.52,7,14
43.9,8,14
49.76,9,14
56.2,10,14
62.12,11,14
68.31,12,14
74.42,13,14
80.56,14,14
86.88,15,14
93.44,16,14
2048 14 thread done,,
6.1,2,16
11.72,3,16
17.24,4,16
22.86,5,16
28.47,6,16
34.02,7,16
40.01,8,16
45.88,9,16
51.47,10,16
57.15,11,16
62.71,12,16
68.75,13,16
74.26,14,16
79.81,15,16
85.68,16,16
2048 16 thread done,,
