512x512 OMM transpose 3,,
elapsed time,power,no of threads
0.61,2,1
1.37,3,1
2.03,4,1
2.64,5,1
3.35,6,1
4,7,1
4.6,8,1
5.19,9,1
5.78,10,1
6.38,11,1
6.96,12,1
7.55,13,1
8.14,14,1
8.74,15,1
9.34,16,1
512 1 thread done,,
0.32,2,2
0.64,3,2
0.95,4,2
1.26,5,2
1.57,6,2
1.97,7,2
2.36,8,2
2.69,9,2
3.01,10,2
3.34,11,2
3.66,12,2
3.97,13,2
4.28,14,2
4.58,15,2
4.89,16,2
512 2 thread done,,
0.23,2,4
0.44,3,4
0.64,4,4
0.84,5,4
1.04,6,4
1.24,7,4
1.44,8,4
1.62,9,4
1.85,10,4
2.04,11,4
2.26,12,4
2.48,13,4
2.68,14,4
2.91,15,4
3.11,16,4
512 4 thread done,,
0.21,2,6
0.43,3,6
0.62,4,6
0.83,5,6
1.02,6,6
1.23,7,6
1.44,8,6
1.67,9,6
1.88,10,6
2.1,11,6
2.31,12,6
2.55,13,6
2.76,14,6
2.98,15,6
3.18,16,6
512 6 thread done,,
0.23,2,8
0.44,3,8
0.65,4,8
0.87,5,8
1.12,6,8
1.4,7,8
1.61,8,8
1.82,9,8
2.03,10,8
2.23,11,8
2.45,12,8
2.67,13,8
2.88,14,8
3.07,15,8
3.29,16,8
512 8 thread done,,
0.21,2,10
0.42,3,10
0.6,4,10
0.81,5,10
1.03,6,10
1.22,7,10
1.42,8,10
1.62,9,10
1.79,10,10
1.99,11,10
2.19,12,10
2.39,13,10
2.58,14,10
2.79,15,10
2.98,16,10
512 10 thread done,,
0.21,2,12
0.42,3,12
0.62,4,12
0.81,5,12
1.01,6,12
1.21,7,12
1.42,8,12
1.62,9,12
1.8,10,12
1.99,11,12
2.21,12,12
2.42,13,12
2.62,14,12
2.84,15,12
3.04,16,12
512 12 thread done,,
0.24,2,14
0.43,3,14
0.62,4,14
0.8,5,14
1,6,14
1.21,7,14
1.41,8,14
1.62,9,14
1.81,10,14
2.02,11,14
2.29,12,14
2.53,13,14
2.72,14,14
2.91,15,14
3.13,16,14
512 14 thread done,,
0.24,2,16
0.44,3,16
0.63,4,16
0.82,5,16
1.01,6,16
1.21,7,16
1.42,8,16
1.61,9,16
1.87,10,16
2.12,11,16
2.34,12,16
2.55,13,16
2.74,14,16
2.93,15,16
3.14,16,16
512 16 thread done,,
