512x512 OMM run 5,,
Elapsed time ,Power,Number of threads
0.38,2,1
0.72,3,1
1.07,4,1
1.42,5,1
1.78,6,1
2.14,7,1
2.49,8,1
2.87,9,1
3.22,10,1
3.57,11,1
3.92,12,1
4.27,13,1
4.63,14,1
4.98,15,1
5.32,16,1
512 1 thread done,,
0.19,2,2
0.36,3,2
0.54,4,2
0.71,5,2
0.89,6,2
1.07,7,2
1.24,8,2
1.42,9,2
1.59,10,2
1.77,11,2
1.94,12,2
2.13,13,2
2.31,14,2
2.49,15,2
2.67,16,2
512 2 thread done,,
0.1,2,4
0.19,3,4
0.28,4,4
0.37,5,4
0.46,6,4
0.55,7,4
0.64,8,4
0.73,9,4
0.82,10,4
0.91,11,4
1,12,4
1.09,13,4
1.18,14,4
1.27,15,4
1.36,16,4
512 4 thread done,,
0.07,2,6
0.14,3,6
0.2,4,6
0.26,5,6
0.33,6,6
0.39,7,6
0.46,8,6
0.52,9,6
0.58,10,6
0.65,11,6
0.71,12,6
0.78,13,6
0.84,14,6
0.9,15,6
0.97,16,6
512 6 thread done,,
0.06,2,8
0.12,3,8
0.17,4,8
0.22,5,8
0.27,6,8
0.33,7,8
0.38,8,8
0.43,9,8
0.48,10,8
0.53,11,8
0.59,12,8
0.64,13,8
0.69,14,8
0.74,15,8
0.79,16,8
512 8 thread done,,
0.07,2,10
0.14,3,10
0.2,4,10
0.27,5,10
0.34,6,10
0.41,7,10
0.47,8,10
0.54,9,10
0.6,10,10
0.67,11,10
0.74,12,10
0.81,13,10
0.87,14,10
0.94,15,10
1.01,16,10
512 10 thread done,,
0.06,2,12
0.11,3,12
0.17,4,12
0.23,5,12
0.28,6,12
0.34,7,12
0.39,8,12
0.45,9,12
0.5,10,12
0.56,11,12
0.62,12,12
0.68,13,12
0.73,14,12
0.79,15,12
0.84,16,12
512 12 thread done,,
0.07,2,14
0.12,3,14
0.17,4,14
0.24,5,14
0.29,6,14
0.35,7,14
0.41,8,14
0.48,9,14
0.54,10,14
0.59,11,14
0.65,12,14
0.7,13,14
0.76,14,14
0.82,15,14
0.87,16,14
512 14 thread done,,
0.05,2,16
0.11,3,16
0.16,4,16
0.21,5,16
0.26,6,16
0.31,7,16
0.36,8,16
0.42,9,16
0.47,10,16
0.52,11,16
0.57,12,16
0.62,13,16
0.68,14,16
0.73,15,16
0.78,16,16
512 16 thread done,,
