512X512 OMM Run 2,,
Elapsed Time,Power,Number of threads
0.36,2,1
0.72,3,1
1.09,4,1
1.45,5,1
1.8,6,1
2.16,7,1
2.52,8,1
2.88,9,1
3.23,10,1
3.58,11,1
3.93,12,1
4.29,13,1
4.65,14,1
5,15,1
5.35,16,1
512 1 thread done,,
0.18,2,2
0.36,3,2
0.54,4,2
0.71,5,2
0.89,6,2
1.07,7,2
1.24,8,2
1.42,9,2
1.6,10,2
1.77,11,2
1.95,12,2
2.13,13,2
2.3,14,2
2.48,15,2
2.66,16,2
512 2 thread done,,
0.1,2,4
0.19,3,4
0.29,4,4
0.38,5,4
0.47,6,4
0.56,7,4
0.65,8,4
0.75,9,4
0.84,10,4
0.93,11,4
1.02,12,4
1.11,13,4
1.2,14,4
1.29,15,4
1.38,16,4
512 4 thread done,,
0.07,2,6
0.13,3,6
0.2,4,6
0.26,5,6
0.32,6,6
0.39,7,6
0.45,8,6
0.51,9,6
0.57,10,6
0.64,11,6
0.7,12,6
0.76,13,6
0.82,14,6
0.89,15,6
0.95,16,6
512 6 thread done,,
0.06,2,8
0.11,3,8
0.16,4,8
0.21,5,8
0.27,6,8
0.32,7,8
0.37,8,8
0.42,9,8
0.48,10,8
0.53,11,8
0.58,12,8
0.63,13,8
0.68,14,8
0.73,15,8
0.79,16,8
512 8 thread done,,
0.07,2,10
0.13,3,10
0.19,4,10
0.26,5,10
0.32,6,10
0.38,7,10
0.44,8,10
0.5,9,10
0.56,10,10
0.62,11,10
0.68,12,10
0.75,13,10
0.81,14,10
0.87,15,10
0.94,16,10
512 10 thread done,,
0.06,2,12
0.12,3,12
0.17,4,12
0.23,5,12
0.29,6,12
0.34,7,12
0.4,8,12
0.46,9,12
0.51,10,12
0.56,11,12
0.62,12,12
0.68,13,12
0.74,14,12
0.79,15,12
0.85,16,12
512 12 thread done,,
0.06,2,14
0.12,3,14
0.17,4,14
0.24,5,14
0.29,6,14
0.35,7,14
0.41,8,14
0.46,9,14
0.52,10,14
0.58,11,14
0.63,12,14
0.69,13,14
0.75,14,14
0.8,15,14
0.86,16,14
512 14 thread done,,
0.06,2,16
0.11,3,16
0.16,4,16
0.21,5,16
0.26,6,16
0.31,7,16
0.36,8,16
0.42,9,16
0.47,10,16
0.52,11,16
0.57,12,16
0.62,13,16
0.67,14,16
0.72,15,16
0.77,16,16
512 16 thread done,,
